TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0001541"	"ovarian follicle development"	-2.050609993355087	3.6908160579809155	0.013928226650006547	0.78632057886781	0.46410352	-6.863089677117855	0.9933962724044957	null
"GO:0046660"	"female sex differentiation"	-1.7878123955960423	3.9674543681827408	0.02633757819651666	0.7890025820506353	0.81757012	null	null	1541
"GO:0001775"	"cell activation"	-1.329754146925876	4.8962340175948045	0.22356138112136476	0.8509688811877812	0.42031223	-6.366214697309589	3.2474124616174556	null
"GO:0001816"	"cytokine production"	-1.3187587626244128	3.116275587580544	0.0037077586638623217	0.8458096124761165	0.32111968	-4.805739285777633	2.354864593481096	null
"GO:0002093"	"auditory receptor cell morphogenesis"	-1.6363880201078558	3.5335178620169674	0.009695249492411812	0.7961315446913138	0.48034962	-6.602914763626477	1.18596384549918	null
"GO:0002576"	"platelet degranulation"	-1.8041003475907664	2.845098040014257	0.001984474200643004	0.9909473216134711	0.11397322	2.9940037121262395	-1.514113684601863	null
"GO:0003006"	"developmental process involved in reproduction"	-1.8356471442155629	5.363749202787413	0.6560177718039772	0.8334832791604397	0.60510863	-7.454289365803914	-0.5716237771247312	null
"GO:0006308"	"DNA catabolic process"	-1.6819366650372385	4.545344234066112	0.09965524090267627	0.9058599418786485	0.38962634	0.3267040545878761	-5.858218065259383	null
"GO:0006575"	"modified amino acid metabolic process"	-1.3419886033428876	5.563504816684922	1.0391348532834788	0.9730986266191363	0.06616103	5.063037437032771	2.732132964570936	null
"GO:0006790"	"sulfur compound metabolic process"	-2.585026652029182	5.888442912219316	2.195890258974167	0.9712437407646918	0	5.017201895289267	4.067826164078061	null
"GO:0007028"	"cytoplasm organization"	-1.408935392973501	3.508664363052943	0.009155835904254202	0.9688063898888344	0.22239858	-7.044835963813338	-5.06843173998714	null
"GO:0007272"	"ensheathment of neurons"	-2.0757207139381184	4.257558587444218	0.051369207705914896	0.8006630946977226	0.37655865	-6.490718301256119	1.54304862384847	null
"GO:0007300"	"ovarian nurse cell to oocyte transport"	-2.207608310501746	2.060697840353612	0.0003236481528945671	0.8571697428056948	0.00214989	-6.959943256151239	-1.1305002511079574	null
"GO:0007315"	"pole plasm assembly"	-1.4100503986742923	3.337459261290656	0.006172027056077095	0.7708607623697866	0.64699104	-6.703597875762968	0.3502766247587072	null
"GO:0007422"	"peripheral nervous system development"	-1.3946949538588904	3.9502187666418633	0.025312692379017197	0.8098025881625202	0.50942325	-6.682433784421769	1.715587275624834	null
"GO:0007488"	"histoblast morphogenesis"	-1.3615107430453628	1.8692317197309762	0.00020724837860792457	0.8354778558394219	0.63966023	-7.413407975882984	1.7646628541785783	null
"GO:0007566"	"embryo implantation"	-2.0177287669604316	3.256477206241677	0.005121590068612273	0.8174699259795906	0.38061178	-7.184286052560346	1.1038620707199915	null
"GO:0008217"	"regulation of blood pressure"	-1.413412695328245	4.448103143768015	0.07966286991422415	0.796140804941782	0.58202159	-5.386649102673623	3.6261048266890694	null
"GO:0008298"	"intracellular mRNA localization"	-1.6695862266508092	3.7942788657214	0.01767573157825943	0.9927711140917417	0.13048382	-1.513961567824912	-3.2527655377193425	null
"GO:0009143"	"nucleoside triphosphate catabolic process"	-1.5718652059712113	4.62960325533649	0.12099330684263737	0.8743959971149582	0.67534789	1.0762203702199007	-5.830128802529465	null
"GO:0009263"	"deoxyribonucleotide biosynthetic process"	-1.350665141287858	4.819201629266243	0.18722477841173701	0.8816116970229985	0.90009532	null	null	9143
"GO:0009264"	"deoxyribonucleotide catabolic process"	-1.469800301796918	4.610777236507186	0.11586036069848496	0.8609506280616556	0.72328494	null	null	9143
"GO:0009262"	"deoxyribonucleotide metabolic process"	-1.4045037781744258	4.990795999908181	0.2779456268831922	0.9042541147363006	0.41162149	1.9557617366590847	-5.4874849339628575	null
"GO:0009611"	"response to wounding"	-1.8153085691824011	4.897918355719508	0.22443012090018702	0.9552463221517696	-0	-4.115451854583005	-5.7530500830753875	null
"GO:0019216"	"regulation of lipid metabolic process"	-1.7375489102695705	4.756772992112471	0.16215624165683326	0.89973155234405	0.22197372	-1.3822019919755795	6.587361438162247	null
"GO:0019226"	"transmission of nerve impulse"	-2.193820026016113	4.223703563522536	0.04751665907891553	0.8501837868861841	0.003085	-6.265204731777486	3.5824549640058034	null
"GO:0031099"	"regeneration"	-1.5670307091255944	4.17084820364331	0.042071420857408684	0.8724900064259699	0.38729798	-7.800143997109247	-0.8779451029659038	null
"GO:0031102"	"neuron projection regeneration"	-1.4672456210075022	3.4443571256560275	0.007895311519296414	0.7551082168183778	0.52390268	-6.182319848598419	-0.6382273992720916	null
"GO:0032506"	"cytokinetic process"	-1.58838029403677	4.80576583966357	0.18152118947169152	0.9514431631505703	0.00349317	4.445972761670649	0.5688004719605476	null
"GO:0000912"	"assembly of actomyosin apparatus involved in cytokinesis"	-1.739928612014925	4.016406500871118	0.029480372102256007	0.9240751431246856	0.80312117	null	null	32506
"GO:0044837"	"actomyosin contractile ring organization"	-1.7328282715969863	4.023293623036605	0.02995164923717266	0.9203070281166948	0.81830654	null	null	32506
"GO:0032543"	"mitochondrial translation"	-1.5900668766687054	4.935154447216169	0.24452185754961553	0.9476230800342442	0.29492516	0.39395984581918875	-0.8730916841298053	null
"GO:0034655"	"nucleobase-containing compound catabolic process"	-2.431798275933005	5.759305151803157	1.6310702908143317	0.911226997477709	0.06992037	0.48489831865562066	-6.4325775226341575	null
"GO:0035193"	"larval central nervous system remodeling"	-1.6882461389442456	1.414973347970818	7.097547212600156E-05	0.8444790659494052	0.26287623	-7.318427774302243	2.0386909415677215	null
"GO:0040007"	"growth"	-2.3010299956639813	4.867467487859051	0.20923285280856754	1	-0	5.230943483619623	-2.9839638298454076	null
"GO:0040014"	"regulation of multicellular organism growth"	-1.5030703519267852	3.8208579894397	0.018791466000080175	0.8746412496611551	0.58529451	2.366788520365535	5.625907537967039	null
"GO:0044706"	"multi-multicellular organism process"	-1.3829996588791011	4.2733485687491015	0.05327135035889173	0.8643716611903353	0.37940733	-6.680779516038004	3.596566470635315	null
"GO:0045103"	"intermediate filament-based process"	-2.5228787452803374	4.550472957106564	0.10083911177773798	0.9973966533911777	0.00330158	2.638973956045259	1.0901718986592162	null
"GO:0045104"	"intermediate filament cytoskeleton organization"	-1.5528419686577808	4.5487701035410435	0.1004444881527174	0.9576101723163317	0.00330037	-6.550775229515435	-4.944985001410333	null
"GO:0045932"	"negative regulation of muscle contraction"	-1.85078088734462	3.0696680969115957	0.0033301691521519937	0.8883581058117374	0.30595414	1.4803763084201393	6.978756468084212	null
"GO:0046385"	"deoxyribose phosphate biosynthetic process"	-1.6675615400843946	4.623166559760084	0.11921324200171726	0.9132926093606977	0.14622872	2.231632383134074	-4.462574835018345	null
"GO:0046386"	"deoxyribose phosphate catabolic process"	-1.5985994592184558	4.594768113447505	0.11166712980528078	0.8873479119791154	0.39368941	1.285878954974314	-5.841026439231685	null
"GO:0048678"	"response to axon injury"	-1.8041003475907664	3.6934631272195313	0.01401339721655775	0.9617077904803751	0.31567364	-4.5964721529013985	-6.108094544623057	null
"GO:0048732"	"gland development"	-1.6073030467403342	4.587755851017804	0.10987854790770554	0.854942543195403	0.52343705	-7.859412634431157	-0.39220055566108525	null
"GO:0050865"	"regulation of cell activation"	-1.5917600346881504	4.841984804590114	0.19730897349139928	0.8853470464906211	0.52405505	1.3266341104572386	6.380550345757078	null
"GO:0001817"	"regulation of cytokine production"	-1.4306260903849541	4.918957729034795	0.23557043100508424	0.8596177522199704	0.70582317	null	null	50865
"GO:0051055"	"negative regulation of lipid biosynthetic process"	-1.869666231504994	4.137227476442907	0.03893714400832446	0.841265529107706	0.24474624	-0.6932694653692871	7.169608893671379	null
"GO:0045833"	"negative regulation of lipid metabolic process"	-1.9746941347352298	4.229374630928843	0.04814124323362434	0.8404928406800353	0.8281531	null	null	51055
"GO:0046890"	"regulation of lipid biosynthetic process"	-1.812479279163537	4.552400501160684	0.10128767676157431	0.8508315804625312	0.88262823	null	null	51055
"GO:0090181"	"regulation of cholesterol metabolic process"	-1.5058454059815571	3.7547304690237535	0.016136983342567714	0.8228516769473145	0.77356684	null	null	51055
"GO:0070570"	"regulation of neuron projection regeneration"	-1.5436339668709569	3.554489160003819	0.010175043683983583	0.881312203278731	0.11324081	2.256611596376083	4.491962015624404	null
"GO:0070572"	"positive regulation of neuron projection regeneration"	-1.47755576649368	3.267406418752904	0.005252184937324116	0.8716924013420576	0.67045455	1.8189472698938822	4.438621623592031	null
"GO:0048679"	"regulation of axon regeneration"	-1.4122890349810886	3.534406899137877	0.009715122624607095	0.873590140271554	0.96284505	null	null	70572
"GO:0071248"	"cellular response to metal ion"	-1.5331323796458904	4.470924753299968	0.08396114450617481	0.9430658749445031	0.6037692	-3.5758744449718236	-6.593687535350373	null
"GO:0072527"	"pyrimidine-containing compound metabolic process"	-1.4023048140744876	5.4789659781574125	0.8553282536093298	0.9735474527338924	0.06466001	5.818945891861471	1.5663600906484603	null
"GO:0072529"	"pyrimidine-containing compound catabolic process"	-1.8297382846050425	4.632356046239074	0.12176268096048325	0.9150290607865836	0.39683665	-0.21759867623025805	-6.650439546218352	null
"GO:0072528"	"pyrimidine-containing compound biosynthetic process"	-1.3467874862246563	5.3692381283509905	0.6643616483071101	0.9351605489431972	0.80524251	null	null	72529
"GO:0072593"	"reactive oxygen species metabolic process"	-1.5128616245228135	5.12357726306058	0.3773481951050999	0.9752934388302542	0.05903004	5.35935792860245	-1.5829257671736245	null
"GO:0080135"	"regulation of cellular response to stress"	-1.3655227298392685	4.947649345068611	0.2516591510266063	0.881201496366942	0.64593187	0.9721505908508588	4.604498269359928	null
"GO:0097194"	"execution phase of apoptosis"	-2.2596373105057563	4.234997879686031	0.04876866640721819	0.9770530243109073	0.00309201	5.8890369477759705	-0.22969985783011282	null
"GO:0097190"	"apoptotic signaling pathway"	-1.3187587626244128	4.725919795648436	0.15103580468413133	0.8578279081554326	0.71335596	null	null	97194
"GO:0140053"	"mitochondrial gene expression"	-1.7077439286435239	5.090617758006277	0.34976996565582075	0.9492079995325429	0.11730921	0.538226309907686	-1.4789344723741098	null
"GO:1902930"	"regulation of alcohol biosynthetic process"	-2.4436974992327127	3.8195439355418688	0.018734685622379375	0.8689658116552835	-0	-2.1363148992332306	7.4424346209214605	null
"GO:0062014"	"negative regulation of small molecule metabolic process"	-1.764471553092451	4.45948295635281	0.081777938983579	0.8417314911301257	0.78748216	null	null	1902930
"GO:1902931"	"negative regulation of alcohol biosynthetic process"	-2.161150909262745	3.2043913319193	0.0045424302160641	0.8621569408712382	0.66498451	-1.5165631447136223	7.570483698668359	null
"GO:1903409"	"reactive oxygen species biosynthetic process"	-2.3467874862246565	3.2971036501492565	0.005624096411264364	0.9683719786458265	0.04077963	4.184183826355361	-3.7505106438517744	null
"GO:1990748"	"cellular detoxification"	-1.7328282715969863	5.518026730456979	0.9358229560568707	0.9249166760070641	0.25559766	-3.746818656783075	-6.376804225717279	null
"GO:0098754"	"detoxification"	-1.7189666327522726	5.578577327189979	1.0758320113915065	0.932812942254934	0.95750529	null	null	1990748
"GO:2000377"	"regulation of reactive oxygen species metabolic process"	-1.7594507517174003	4.040444098362676	0.031158232263314684	0.911187803467522	0.19321239	-2.7927356453693695	7.1836144335832985	null
"GO:2000379"	"positive regulation of reactive oxygen species metabolic process"	-1.8356471442155629	3.5384480517102173	0.009805971228928376	0.9113998554776366	0.18067229	-0.9540352132101912	5.842574515911148	null
